X,Y,id,e,n,u
126.644587174067,37.3916862610062,0,151.71574503641574,316.79289900019535,-0.3786932185205103
126.644251465527,37.3918579352529,1,121.98743195416654,335.84569920145225,-0.37903386417656293
126.643833065727,37.3920776962651,2,84.93666544391597,360.2354438358967,-0.37976849586237904
126.639991067991,37.394435745408,3,-255.274412790123,621.9473473889516,-0.4045173000855584
126.639144455574,37.394918790205,4,-330.23971679349137,675.560785691234,-0.4134236959349096
126.636143008656,37.3969531102863,5,-595.999649949989,901.3549358931105,-0.4606932956343144
126.635882072546,37.3970634014634,6,-619.1038296609814,913.5973064160153,-0.46463845269215653
126.634568939519,37.3977128788034,7,-735.3711887060001,985.6891203224693,-0.48773469391460367
126.633811215956,37.3969671523026,8,-802.4725439751022,902.930671896867,-0.4835245081816879
126.632775923991,37.3957265469723,9,-894.1591710795017,765.2511414590334,-0.47764502862838754
126.634633832721,37.3926798384094,10,-729.6739420938385,427.0956984965111,-0.4250293860216914
126.638511474195,37.3869280649051,11,-386.3307824762486,-211.288299205008,-0.38419599457314746
126.638642623901,37.3867947339147,12,-374.7169978445724,-226.08657192848662,-0.38401288411742485
126.638813991033,37.3866044168772,13,-359.5418283921549,-247.20958001713575,-0.3839265601558992
126.640112127732,37.3863175780184,14,-244.58096033889595,-279.0485525534965,-0.37980634192953744
126.640565289503,37.3867421104359,15,-204.44806236784672,-231.93289081022508,-0.37650237196712055
126.641404908776,37.3874721525989,16,-130.09102134516417,-150.9106252074075,-0.3721157531580275
126.642552699421,37.388535454347,17,-28.444500275309892,-32.90099116970985,-0.36914846288769
126.644058669056,37.3899259258637,18,104.91743647333766,121.42120279559315,-0.37102109126843175
126.644488304082,37.3902782625376,19,142.9631742639878,160.52588459853513,-0.37262640348555465
