X,Y,id
126.644587174067,37.3916862610062,0
126.644251465527,37.3918579352529,1
126.643833065727,37.3920776962651,2
126.639991067991,37.394435745408,3
126.639144455574,37.394918790205,4
126.636143008656,37.3969531102863,5
126.635882072546,37.3970634014634,6
126.634568939519,37.3977128788034,7
126.633811215956,37.3969671523026,8
126.632775923991,37.3957265469723,9
126.634633832721,37.3926798384094,10
126.638511474195,37.3869280649051,11
126.638642623901,37.3867947339147,12
126.638813991033,37.3866044168772,13
126.640112127732,37.3863175780184,14
126.640565289503,37.3867421104359,15
126.641404908776,37.3874721525989,16
126.642552699421,37.388535454347,17
126.644058669056,37.3899259258637,18
126.644488304082,37.3902782625376,19
